2017-08-09 02:21:18,673 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-08-09 02:36:48,436 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:37:02,317 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/emira/EMCL/dlModel
2017-08-09 02:37:02,318 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2017-08-09 02:37:51,783 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:37:51,784 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:37:51,794 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:37:51,795 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:38:50,208 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:38:50,209 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:38:50,211 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:38:50,212 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:40:37,212 [Worker-4] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/emira/EMCL/dlModel
2017-08-09 02:40:37,212 [Worker-4] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-08-09 02:40:39,514 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:40:39,515 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:40:39,517 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:40:39,518 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:40:48,729 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-08-09 02:40:56,070 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/emira/EMCL/dlModel
2017-08-09 02:40:56,070 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2017-08-09 02:41:54,618 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:41:54,619 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:41:54,621 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:41:54,621 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:42:13,459 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:42:13,460 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:42:13,468 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:42:13,471 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:46:03,068 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:46:03,069 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:46:03,071 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:46:03,072 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:46:08,765 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:46:08,765 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:46:08,767 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:46:08,767 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:46:25,271 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/emira/EMCL/dlModel
2017-08-09 02:46:25,272 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-08-09 02:46:27,982 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:46:27,983 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
